estrato,person_years,deaths,rate_per_million,CI_lower,CI_upper
lowland (<500 m),127385332.647139,19,0.149153749534341,0.0898003006048882,0.232922055899283
500-1500,52396184.3354055,8,0.152682873790758,0.0659176277921187,0.300846128780826
1500-2500,14695404.0727914,12,0.816581833378643,0.421939749190197,1.42640412909689
2500-3500,27872199.9735615,42,1.50687782234052,1.08602499125259,2.03686105984968
>3500,39181793.8858585,510,13.0162493704524,11.9109506228308,14.1965171057799
