estrato,person_years,electrocution_deaths,lightning_deaths,lightning_rate,electrocution_rate
lowland (<500 m),127385332.647139,366,19,0.149153749534341,2.87317222787204
500-1500,52396184.3354055,163,8,0.152682873790758,3.11091355348669
1500-2500,14695404.0727914,60,12,0.816581833378643,4.08290916689321
2500-3500,27872199.9735615,63,42,1.50687782234052,2.26031673351079
>3500,39181793.8858585,133,510,13.0162493704524,3.39443365935327
