model,term,beta,SE,p_value,beta_CI_lower,beta_CI_upper,rate_ratio_per_doubling,RR_CI_lower,RR_CI_upper,dispersion_phi,residual_df
Altitude only,(Intercept),-20.6050321924741,5.94499534012524,0.00054018177500482,-32.2644795818614,-8.94558480308686,6.26999577874361e-07,1.93831274492499e-10,0.00202819937950644,18.6714950574413,1889
Altitude only,log(altitud),2.76834336616763,0.725771881201986,0.000140932449992452,1.34494459435414,4.19174213798112,6.81325104520776,2.54020440851542,18.2742733810758,18.6714950574413,1889
Altitude plus flash density,(Intercept),-16.5140182614112,2.11332613460804,9.10941724852962e-15,-20.6587184404462,-12.3693180823761,1.06852614820378e-05,6.04096163267183e-07,0.000189001056259022,3.76503208883935,1888
Altitude plus flash density,log(altitud),2.04252367896273,0.256091450336218,2.60025061352978e-15,1.54027167787502,2.54477568005045,4.11965544207526,2.90849268933949,5.83517401423294,3.76503208883935,1888
Altitude plus flash density,"log(pmax(densidad, LOD_FLASH_DENSITY))",1.0071223644277,0.12419763693248,9.08235320393287e-16,0.763543316404786,1.25070141245062,2.00989810625775,1.69765501692243,2.37957085348341,3.76503208883935,1888
