type,scenario,years,high_deaths,high_person_years,high_rate,high_rate_CI_lower,high_rate_CI_upper,RR_high_vs_rest,RR_CI_lower,RR_CI_upper
period,Base,2017-2024,510,39181793.8858585,13.0162493704524,11.9109506228308,14.1965171057799,35.7302667483089,28.2632751781794,45.1699937058586
period,Exclude 2017,2018-2024,456,34313579,13.2891995906344,12.0973004630349,14.5667756691469,39.5056094318176,30.5179059789311,51.1402446044884
period,2017-2022 only,2017-2022,403,29410103.8858585,13.7027737665959,12.3974245243617,15.1081826609214,31.7202827322989,24.6477965764559,40.8221616685242
case restriction,Exclude deaths registered at home,2017-2024,332,39181793.8858585,,,,34.2551990515338,25.7516661284499,45.5667084299386
case restriction,Necropsy-confirmed only,2017-2024,35,39181793.8858585,,,,9.93091237563292,5.73307870470464,17.2024536365719
case restriction,One death per district-date event (first record per event),2017-2024,486,39181793.8858585,,,,34.4744529611257,27.2140908371416,43.671784373808
