estrato,districts,area_km2,flashes_per_year,area_weighted_density,simple_mean_density,deaths,person_years,rate_per_million,mortality_per_million_flashes
lowland (<500 m),309,608166.2,11325078.188,18.6216830004693,7.07831715210356,19,127385332.647139,0.149153749534341,0.209711576430134
500-1500,214,213846.3,3209053.7,15.006355966879,7.31004672897196,8,52396184.3354055,0.152682873790758,0.311618344061989
1500-2500,210,117096.7,1153439.799,9.85031857430653,4.65757142857143,12,14695404.0727914,0.816581833378643,1.30045798775147
2500-3500,435,104648.1,383803.805,3.66756591854033,3.90036781609195,42,27872199.9735615,1.50687782234052,13.6788638663965
>3500,723,244758.9,1929185.027,7.88198111284207,7.15614107883817,510,39181793.8858585,13.0162493704524,33.0450418740473
