comparison,RR,CI_lower,CI_upper,deaths_ref,py_ref,rate_ref,density_ratio,MFR_ratio
>3500 m vs Amazon lowland (<500 m),13.9879738291193,8.37071958635493,23.374742138427,15,16119821,0.930531435750612,0.381817067574804,198.943191127317
>3500 m vs Pacific coast (<500 m),362.064912109099,135.366766005026,968.413477320589,4,111265512,0.0359500435837048,10.9978421536561,2.90573106022228
