UBIGEO,altitud,DISTRITO,PROVINCIA,DEPARTAMEN,lon,lat,person_years,deaths,estrato,crude_rate,post_a,post_b,posterior_rate,credible_lower,credible_upper,probability_above_84
010101,2420.69876688197,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,-77.8564888512503,-6.24774347494765,311016.456403486,0,1500-2500,0,0.0671720204620204,316177.084365524,0.212450629041682,2.64558293206651e-24,2.30488600331507,9.2148511043888e-15
010102,2848.6318537859,ASUNCION,CHACHAPOYAS,AMAZONAS,-77.7432050304132,-5.99613185418487,2224.01423487545,0,2500-3500,0,0.0671720204620204,7384.64219691378,9.09617807753681,1.13271933237004e-22,98.6848268190469,0.0305703015806972
010103,2323.20232690125,BALSAS,CHACHAPOYAS,AMAZONAS,-77.9491661494218,-6.80772131890765,9457.33277870216,0,1500-2500,0,0.0671720204620204,14617.9607407405,4.59517039711366,5.72222564243671e-23,49.8532010892613,0.0109836813802836
010104,2540.67948717949,CHETO,CHACHAPOYAS,AMAZONAS,-77.6771662623311,-6.2979699185918,5598.11637931035,0,2500-3500,0,0.0671720204620204,10758.7443413487,6.24348142597465,7.77481712892088e-23,67.7357982680448,0.0184452291360026
010105,2651.19620253165,CHILIQUIN,CHACHAPOYAS,AMAZONAS,-77.7558666534351,-6.07820576804398,4731.37251655629,0,2500-3500,0,0.0671720204620204,9892.00047859463,6.79053954833246,8.45605193527874e-23,73.6708553441758,0.0208782957174078
010106,2769.87390029326,CHUQUIBAMBA,CHACHAPOYAS,AMAZONAS,-77.8950696235844,-6.93489659548686,15457.1150895141,0,2500-3500,0,0.0671720204620204,20617.7430515524,3.25797155848068,4.05705268426556e-23,35.3458734305156,0.00526102345710267
010107,3385.00577124869,GRANADA,CHACHAPOYAS,AMAZONAS,-77.5765846467152,-6.09998080298834,4287.1522556391,0,2500-3500,0,0.0671720204620204,9447.78021767744,7.10982039319003,8.85364264023507e-23,77.1347469492906,0.0222777684396223
010108,2198.24758220503,HUANCAS,CHACHAPOYAS,AMAZONAS,-77.8749799929596,-6.15614393972526,11482.6673835126,0,1500-2500,0,0.0671720204620204,16643.2953455509,4.03598079991874,5.0258838802112e-23,43.7865291213422,0.00850323429794897
010109,2914.37726285301,LA JALCA,CHACHAPOYAS,AMAZONAS,-77.7843962460659,-6.50359365102512,31036.806127451,0,2500-3500,0,0.0671720204620204,36197.4340894893,1.85571221142233,2.31086185788752e-23,20.1327015202625,0.00094294017901464
010110,3361.56245572609,LEIMEBAMBA,CHACHAPOYAS,AMAZONAS,-77.7987085533978,-6.80888818916991,30478.0751625488,0,2500-3500,0,0.0671720204620204,35638.7031245871,1.88480541020805,2.34709073162346e-23,20.4483348840014,0.000999999386403827
010111,2749.06714628297,LEVANTO,CHACHAPOYAS,AMAZONAS,-77.8645540621834,-6.31429889474838,6433.20685434517,0,2500-3500,0,0.0671720204620204,11593.8348163835,5.79377070019129,7.21480606853175e-23,62.8568672802934,0.0164185321230566
010112,2700.87826086957,MAGDALENA,CHACHAPOYAS,AMAZONAS,-77.8238188668759,-6.42056617035342,7269,0,2500-3500,0,0.0671720204620204,12429.6279620383,5.4041859231163,6.72966801953105e-23,58.6302452936455,0.0146507224193337
010113,2896.15603644647,MARISCAL CASTILLA,CHACHAPOYAS,AMAZONAS,-77.7700022611895,-6.57890340379538,12343.7226277372,0,2500-3500,0,0.0671720204620204,17504.3505897756,3.83744716020805,4.77865598965193e-23,41.6326291332815,0.00764595720842187
010114,2765.85574377978,MOLINOPAMPA,CHACHAPOYAS,AMAZONAS,-77.607253656144,-6.21244135698993,18131.2508710801,0,2500-3500,0,0.0671720204620204,23291.8788331185,2.88392451906925,3.5912633064131e-23,31.2878210274243,0.0038570202007342
010115,2842.79441997063,MONTEVIDEO,CHACHAPOYAS,AMAZONAS,-77.7183772124645,-6.62810730283448,3919.50894632207,0,2500-3500,0,0.0671720204620204,9080.13690836041,7.39768806791588,9.21211548184712e-23,80.2578357218463,0.0235249606530359
010116,3155.68776371308,OLLEROS,CHACHAPOYAS,AMAZONAS,-77.6709869731434,-6.00841337047257,3470.11421911422,0,2500-3500,0,0.0671720204620204,8630.74218115255,7.7828788129841,9.69178177671251e-23,84.4367866664446,0.025170745562424
010117,3086.92122538293,QUINJALCA,CHACHAPOYAS,AMAZONAS,-77.6854899078125,-6.10815948468053,6345.17843866171,0,2500-3500,0,0.0671720204620204,11505.8064007,5.83809757636227,7.2700049764186e-23,63.3377714645645,0.0166191129634341
010118,2337.13199105145,SAN FRANCISCO DE DAGUAS,CHACHAPOYAS,AMAZONAS,-77.7335743725377,-6.23223614572783,2598.01238390093,0,1500-2500,0,0.0671720204620204,7758.64034593927,8.65770514767797,1.07811763480669e-22,93.9278151621603,0.0288047725202635
010119,2850.14808652246,SAN ISIDRO DE MAINO,CHACHAPOYAS,AMAZONAS,-77.8225684442427,-6.3544182074831,4726.13522537563,0,2500-3500,0,0.0671720204620204,9886.76318741396,6.79413668444407,8.46053133924386e-23,73.7098808284169,0.0208941527103811
010120,2929.03631961259,SOLOCO,CHACHAPOYAS,AMAZONAS,-77.74635432906,-6.30911329700597,10093.1532447224,0,2500-3500,0,0.0671720204620204,15253.7812067608,4.40363078187121,5.48370719738161e-23,47.7751795731845,0.0101256503774723
010121,2397.8475975976,SONCHE,CHACHAPOYAS,AMAZONAS,-77.7964059770589,-6.17597369332282,2215.05839416058,0,1500-2500,0,0.0671720204620204,7375.68635619892,9.10722300516011,1.13409472354389e-22,98.8046537134243,0.0306142885449842
010201,595.298293515358,BAGUA,BAGUA,AMAZONAS,-78.5209838457417,-5.58090770091713,239360.673527421,0,500-1500,0,0.0671720204620204,244521.301489459,0.274708256715688,3.42085819440988e-24,2.98032168111325,4.77795580877682e-12
010202,1267.22314242389,ARAMANGO,BAGUA,AMAZONAS,-78.4444030702595,-5.37875800926936,80767.4450485437,0,500-1500,0,0.0671720204620204,85928.0730105821,0.78172380816393,9.73456832675593e-24,8.48095518484764,7.2327396720695e-06
010203,1312.967063129,COPALLIN,BAGUA,AMAZONAS,-78.399749968551,-5.64770350142086,36933.8109463129,0,500-1500,0,0.0671720204620204,42094.4389083513,1.59574571378106,1.98713350171781e-23,17.3123138167898,0.00051167081478587
010204,654.71921182266,EL PARCO,BAGUA,AMAZONAS,-78.4739698418866,-5.62263809387288,10236.0030959752,0,500-1500,0,0.0671720204620204,15396.6310580136,4.36277392170536,5.43282939466566e-23,47.3319217416569,0.00994357900565801
010205,910.60088901127,IMAZA,BAGUA,AMAZONAS,-78.3896173779915,-4.9912855942232,257517.340702875,0,500-1500,0,0.0671720204620204,262677.968664914,0.255720039268724,3.18440370983314e-24,2.77431769412188,9.75108882528275e-13
010206,1075.93342036554,LA PECA,BAGUA,AMAZONAS,-78.445407432043,-5.59197738228071,52014.9175086714,0,500-1500,0,0.0671720204620204,57175.5454707097,1.17483829684549,1.46299032396026e-23,12.7458711643843,0.000113147325507379
010301,2682.70821529745,JUMBILLA,BONGARA,AMAZONAS,-77.8256610429179,-5.95173438383387,10533.2666174298,0,2500-3500,0,0.0671720204620204,15693.8945794682,4.28013710184465,5.32992428152483e-23,46.4353913321468,0.00957652501892459
